Index,Id,Proyecto,NUP,Empresa Solicitante,Tipo,Estado Solicitud,Fecha Recepción,Capacidad [MW],Tipo Proyecto,Sólo BESS,BESS+Solar,BESS+Eólico,Capacidad BESS (MW),Cap. BESS + Solar (MWh),Cap. BESS+ Eolico (MWh),Número de Hrs almacenamiento,Huso,Este,Norte,Fecha Estimada Conexión,Punto de Conexión,Nivel de tension,Barra,Paño,Región,Comuna,Segmento de Transmisión,Latitud,Longitud,Technology
44,1738,BESS Rey Cobre,4558,Enel Green Power del Sur ,SAC,Evaluación de antecedentes y/o requerimientos,6 de noviembre de 2023 11:26,70.0,Híbrido,x,,,70.0,,,,19.0,507444.8,7520093.4,1 de septiembre de 2028 00:00,S/E Calama Nueva 110 kV,110,Barra principal + barra de transferencia,H4,Antofagasta,Calama,Zonal,-22.425316944577535,-68.92765734396163,BESS
45,1737,BESS Norte Claro,4557,Enel Green Power del Sur ,SAC,Evaluación de antecedentes y/o requerimientos,6 de noviembre de 2023 11:17,200.0,Híbrido,x,,,200.0,,,,19.0,427043.0,7698486.73,1 de diciembre de 2028 00:00,S/E Lagunas 220 kV,220,Barra principal sección 2 y barra de transferencia,H17,Tarapacá,Pozo Almonte,Nacional,-20.8121199462125,-69.70110334129173,BESS
46,1736,BESS Terral (Ex-BESS Duqueco),4556,Sphera Development SpA,SAC,Evaluación de antecedentes y/o requerimientos,6 de noviembre de 2023 08:52,20.0,Híbrido,x,,,20.0,,,5.0,18.0,736267.0,5844069.0,26 de julio de 2028 00:00,S/E Duqueco 66 kV,66,Barra Principal y Barra de Transferencia,B5,Biobío,Los Ángeles,Nacional,-37.5201105080278,-72.32653180150606,BESS
47,1735,BESS Sao,4566,Grenergy Renovables Pacific Limitada,SAC,Evaluación de antecedentes y/o requerimientos,3 de noviembre de 2023 20:22,200.0,Híbrido,x,,,200.0,,,5.0,19.0,318415.5,6282524.32,30 de junio de 2027 00:00,S/E Tinguiririca 220 kV,220,Media diagonal,por definir,Libertador General Bernardo OHiggins,Placilla,Nacional,-33.58154700235522,-70.95661895025849,BESS
48,1734,BESS Nereida,4567,Grenergy Renovables Pacific Limitada,SAC,Evaluación de antecedentes y/o requerimientos,3 de noviembre de 2023 20:02,90.0,Híbrido,x,,,90.0,,,5.0,19.0,346600.5,6218105.2,30 de junio de 2027 00:00,S/E Seccionadora El Guindal 110 kV,110,Barra Principal,por definir,Metropolitana de Santiago,Buin,Zonal,-34.166734235209674,-70.66427736389167,BESS
49,1731,BESS Llullaillaco,4548,Colbún S.A.,SAC,Detenida a la espera de definición de ingeniería de la obra,3 de noviembre de 2023 19:56,250.0,Híbrido,x,,,250.0,,,,19.0,408108.0,7237247.0,31 de diciembre de 2026 00:00,Nueva S/E Seccionadora Llullaillaco 500 kV,500,Barra Principal N°2,K14-K15,Antofagasta,Taltal,Nacional,-24.977394647719134,-69.91044451470451,BESS
50,1730,BESS Proteo,4554,Grenergy Renovables Pacific Limitada,SAC,Evaluación de antecedentes y/o requerimientos,3 de noviembre de 2023 19:55,50.0,Híbrido,x,,,50.0,,,5.0,19.0,288572.4,6202582.7,30 de junio de 2027 00:00,S/E Santa Cruz 66 kV,66,Barra principal,por definir,Libertador General Bernardo OHiggins,Santa Cruz,Zonal,-34.29646489790972,-71.29725583004831,BESS
51,1729,BESS Despina,4545,Grenergy Renovables Pacific Limitada,SAC,Detenida a la espera de definición de ingeniería de la obra,3 de noviembre de 2023 19:54,90.0,Híbrido,x,,,90.0,,,5.0,19.0,298155.25,6362762.5,30 de junio de 2027 00:00,S/E Pachacama 110 kV,110,Barra Principal,por definir ,Valparaiso,La Calera,Nacional,-32.85466898678162,-71.1569714991822,BESS
52,1726,BESS Talasa,4529,Grenergy Renovables Pacific Limitada,SAC,Detenida a la espera de definición de ingeniería de la obra,3 de noviembre de 2023 19:49,90.0,Híbrido,x,,,90.0,,,5.0,19.0,314034.05,6281207.54,30 de junio de 2027 00:00,S/E El Pimiento 110kV,110,Barra Principal,por definir ,Metropolitana de Santiago,Melipilla,Nacional,-33.592661139578716,-71.00407978859884,BESS
54,1723,BESS Neso,4562,Grenergy Renovables Pacific Limitada,SAC,Detenida a la espera de definición de ingeniería de la obra,3 de noviembre de 2023 19:36,150.0,Híbrido,x,,,150.0,,,5.0,19.0,340180.18,6264211.07,30 de junio de 2027 00:00,S/E Linderos 154 kV,154,Linderos,por definir,Metropolitana de Santiago,Buin,Zonal,-33.750132130064436,-70.72549213678275,BESS
67,1700,BESS Tritón ,4550,Grenergy Renovables Pacific Limitada,SAC,Detenida a la espera de definición de ingeniería de la obra,3 de noviembre de 2023 19:05,200.0,Híbrido,x,,,200.0,,,5.0,19.0,318415.5,6282524.32,30 de junio de 2027 00:00,S/E Seccionadora El Pimiento 220 kV,220,Media Diagonal ,por definir,Metropolitana de Santiago,Melipilla,Nacional,-33.58154700235522,-70.95661895025849,BESS
74,1682,BESS POLPAICO NUEVA ENERGÍA 2,4512,JINKO POWER CHILE SPA ,SAC,Evaluación de antecedentes y/o requerimientos,31 de octubre de 2023 15:37,300.0,Híbrido,x,,,300.0,,,,19.0,327022.0,6325810.0,31 de diciembre de 2027 00:00,S/E Polpaico 500 kV,500,Doble barra mas barra transferencia,K5,Metropolitana de Santiago,Tiltil,Nacional,-33.192755806728265,-70.85561366882739,BESS
75,1680,BESS Halcón 18,4509,oEnergy Development SpA,SAC,Evaluación de antecedentes y/o requerimientos,25 de octubre de 2023 22:57,300.0,Híbrido,x,,,300.0,,,,19.0,410832.0,7013634.0,30 de noviembre de 2026 00:00,S/E Carrera Pinto 220 kV,220,Interruptor y medio,J21,Atacama,Copiapó,Nacional,-26.996508667795823,-69.89868379252457,BESS
