Dedicated tx lines,n_std,typical use,Design Capacity [MVA],Available Technical Capacity (+) 2023 [MVA],Av. Tec. Capacity (+) 2024 [MVA],Av. Tec. Capacity (+) 2025 [MVA],Av. Tec. Capacity (+) 2026 [MVA],Av. Tec. Capacity (+) 2027 [MVA],Av. Tec. Capacity (+) 2028 [MVA],Av. Tec. Capacity (+) 2029 [MVA],Av. Tec. Capacity (+) 2030 [MVA],Variation 2023->2030 [%],Available Technical Capacity (-) 2023 [MVA],Av. Tec. Capacity (-) 2024 [MVA],Av. Tec. Capacity (-) 2025 [MVA],Av. Tec. Capacity (-) 2026 [MVA],Av. Tec. Capacity (-) 2027 [MVA],Av. Tec. Capacity (-) 2028 [MVA],Av. Tec. Capacity (-) 2029 [MVA],Av. Tec. Capacity (-) 2030 [MVA],Variation 2023->2030 [%](-),Region
Línea 1x110 kV Tap Los Hierros II - Canal Melado,121,Inyección,149.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,"0,0%",149.6,149.6,149.6,149.6,149.6,149.6,149.6,149.6,0%,Región del Maule
Transformador Canal El Melado 220/110/13.8 kV 55MVA,121,Inyección,55,0,0,0,0,0,0,0,0,"0,0%",55,55,55,55,55,55,55,55,0%,Región del Maule
Línea 2x220 kV Pehuenche - Ancoa,121,Inyección,533.1,0,0,0,0,0,0,0,0,"0,0%",533.1,533.1,533.1,533.1,533.1,533.1,533.1,533.1,0%,Región del Maule
Línea 1x66 kV La Mina - Tap Rio Colorado,121,Inyección,42.2,5,5,5,5,5,5,5,5,"0,0%",42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,0%,Región del Maule
Línea 2x220 Kv Pehuenche - Tap Loma Alta,121,Inyección,533.1,0,0,0,0,0,0,0,0,"0,0%",533.1,533.1,533.1,533.1,533.1,533.1,533.1,533.1,0%,Región del Maule
Línea 1x220 kV Canal Melado - Loma Alta,121,Inyección,197.4,104.3,104.3,104.3,104.3,104.3,104.3,104.3,104.3,"0,0%",197.4,197.4,197.4,197.4,197.4,197.4,197.4,197.4,0%,Región del Maule
Línea 2x220 kV Tap Loma Alta - Ancoa,121,Inyección,533.1,0,0,0,0,0,0,0,0,"0,0%",533.1,533.1,533.1,533.1,533.1,533.1,533.1,533.1,0%,Región del Maule
Línea 2x154 kV Central Cipreses - Central Isla C1,122,Inyección,107,39,39,39,39,39,39,39,39,"0,0%",107,107,107,107,107,107,107,107,0%,Región del Maule
Línea 2x154 kV Central Cipreses - Central Isla C2,122,Inyección,107,39,39,39,39,39,39,39,39,"0,0%",107,107,107,107,107,107,107,107,0%,Región del Maule
Línea 2x154 kV Tap Rio Melado - Itahue C2,122,Inyección,143,0,0,0,0,0,0,0,0,"0,0%",135.9,135.9,135.9,135.9,135.9,135.9,135.9,135.9,0%,Región del Maule
Línea 2x154 kV Central Cipreses - Tap Rio Melado C2,122,Inyección,143,0,0,0,0,0,0,0,0,"0,0%",143,143,143,143,143,143,143,143,0%,Región del Maule
Línea 1x154 kV Central Cipreses - Central Curillinque C1,122,Inyección,143,0,0,0,0,0,0,0,0,"0,0%",141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,0%,Región del Maule
Línea 2x154 kV Tap Rio Melado - Itahue C1,122,Inyección,143,0,0,0,0,0,0,0,0,"0,0%",136.6,136.6,136.6,136.6,136.6,136.6,136.6,136.6,0%,Región del Maule
Línea 1x66 kV Maule - Lircay,123,Inyección,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,"0,0%",0,0,0,0,0,0,0,0,0%,Región del Maule
Línea 1x66 kV Lircay - Mariposas,123,Inyección,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,"0,0%",17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,0%,Región del Maule
Línea 1x66 kV Providencia - Lircay,123,Inyección,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,"0,0%",7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,0%,Región del Maule
Línea 1x154 kV Planta MDP Teno - Teno,124,Retiro,68.8,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,"0,0%",68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,0%,Región del Maule
Línea 1x66 kV Planta Viñales - Constitución,125,Inyección,52.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,"0,0%",44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,0%,Región del Maule
Línea 1x220 kV San Fabian - Tap Catillo      ,126,Inyección,328.1,154.3,154.3,154.3,154.3,154.3,154.3,154.3,154.3,"0,0%",327.9,327.9,327.9,327.9,327.9,327.9,327.9,327.9,0%,Región del Maule
Línea 1x220 kV Digua - Catillo      ,126,Inyección,350.2,326.4,326.4,326.4,326.4,326.4,326.4,326.4,326.4,"0,0%",350.1,350,350,350,350,350,350,350,0%,Región del Maule
Línea 1x220 kV Tap Catillo - Ancoa      ,126,Inyección,330,156.2,156.2,156.2,156.2,156.2,156.2,156.2,156.2,"0,0%",329.9,329.8,329.8,329.8,329.8,329.8,329.8,329.8,0%,Región del Maule
Línea 1x66 kV Curicó - Curicó (FF.CC),127,Inyección,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0,0%",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0%,Región del Maule
Línea 1x66 kV Itahue - Itahue (FF.CC),128,Inyección,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0,0%",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0%,Región del Maule
Línea 1x66 kV Villa Alegre - Villa Alegre (FF.CC),129,Inyección,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0,0%",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0%,Región del Maule
Línea 1x66 kV Longavi (FF.CC.) - Tap Longavi,130,Retiro,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0,0%",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0%,Región del Maule
Línea 1x66 kV Planta Constitución - Constitución,131,Mixto,35.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,"0,0%",22.7,21.9,21.2,21.2,20.4,20.4,19.7,19.7,-10%,Región del Maule
Línea 1x220 kV Machicura - Colbún ,132,Inyección,308.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,"0,0%",308.7,308.7,308.7,308.7,308.7,308.7,308.7,308.7,0%,Región del Maule
Línea 1x66 kV Tap San Clemente - Talca,133,Inyección,58.8,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,"0,0%",42.1,41.1,40.1,40.1,39.2,39.2,38.2,38.2,-10%,Región del Maule
Línea 1x66 kV San Ignacio - Tap San Clemente,133,Inyección,58.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,"0,0%",42.1,41.1,40.1,40.1,39.2,39.2,38.2,38.2,-10%,Región del Maule
"Transformador COLBUN 230/66/13,8KV 25MVA",134,Inyección,25,0,0,0,0,0,0,0,0,"0,0%",25,25,25,25,25,25,25,25,0%,Región del Maule
Línea 1x66 kV Chiburgo - Colbun,134,Inyección,27.9,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,"0,0%",27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,0%,Región del Maule
Línea 1x66 kV San Clemente Colbun - Chiburgo,134,Inyección,29.8,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,"0,0%",29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,0%,Región del Maule
Línea 1x220 kV Colbun - Procart,135,Retiro,187.9,104.7,104.7,104.7,104.7,104.7,104.7,104.7,104.7,"0,0%",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0%,Región del Maule
Línea 1x66 kV Central Ancoa – Putagan,136,Inyección,65.2,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,"0,0%",65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,0%,Región del Maule
Línea 1x154 kV Central Convento Viejo - Seccionadora Convento Viejo,137,Inyección,144,128,128,128,128,128,128,128,128,"0,0%",144,144,144,144,144,144,144,144,0%,Región del Maule
Línea 1x66 kV Aguas Negras - Aguas Claras,138,Inyección,68,68,68,68,68,68,68,68,68,"0,0%",14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,0%,Región del Maule
Línea 1x66 kV Teno - Aguas Negras,138,Inyección,165.4,165.4,165.4,165.4,165.4,165.4,165.4,165.4,165.4,"0,0%",35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,0%,Región del Maule
Línea 2x220 kV Ancoa - Los Condores,228,Inyección,390.6,220.6,220.6,220.6,220.6,220.6,220.6,220.6,220.6,"0,0%",390.6,390.6,390.6,390.6,390.6,390.6,390.6,390.6,0%,Región del Maule
Línea 1x66 kV Niquen - Tap Niquen,189,Retiro,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0,0%",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0%,Región de Ñuble
Línea 1x66 kV Cocharcas (FFCC) - Cocharcas,189,Retiro,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0,0%",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0%,Región de Ñuble
Línea 1x66 kV Bulnes (FFCC) - Tap Tres Esquinas,189,Retiro,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0,0%",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0%,Región de Ñuble
Línea 1x66 kV Los Angeles Sur - Duqueco,118,Inyección,90.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,"0,0%",90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,0%,Región del Biobío
Línea 1x154 kV Petropower - Hualpen,140,Mixto,161.4,140.9,140.9,140.9,140.9,140.9,140.9,140.9,140.9,"0,0%",146.5,148,127.3,127.3,127.3,127.3,127.3,141.3,0%,Región del Biobío
Línea 2x66 kV ERBB - Petropower,140,Retiro,27.9,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,"0,0%",13.1,14.5,0,0,0,0,0,7.8,-50%,Región del Biobío
Línea 1x66 kV Petropower - Petroqim,140,Retiro,47.1,32.3,33.7,13,13,13,13,13,27,"-20,0%",26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,0%,Región del Biobío
Línea 1x154 kV Tap OXY - OXY ,141,Retiro,144,144,144,144,144,144,144,144,144,"0,0%",122.3,144,144,144,144,144,144,144,0%,Región del Biobío
Línea 1x154 kV Tap OXY - Tap Petroquimicas,141,Retiro,144,90,68.3,68.3,68.3,68.3,68.3,66.6,66.6,"-30,0%",144,144,144,144,144,144,144,144,0%,Región del Biobío
Línea 1x154 kV PetroDow - Tap EKA Chile ,141,Retiro,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,"0,0%",75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,0%,Región del Biobío
Línea 1x154 kV Hualpén - Tap Petroquímicas,141,Retiro,214.7,160.7,160.7,160.7,160.7,160.7,160.7,160.7,160.7,"0,0%",214.7,214.7,214.7,214.7,214.7,214.7,214.7,214.7,0%,Región del Biobío
Línea 2x66 kV Papelera Bio Bio - Estructura 48,142,Inyección,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,"0,0%",7.2,6.5,5.8,5.1,4.4,3.7,3,2.3,-60%,Región del Biobío
Línea 1x220 kV Peuchén - Mampil,143,Inyección ,230.2,134.1,134.1,134.1,134.1,134.1,134.1,134.1,134.1,"0,0%",230.2,230.2,230.2,230.2,230.2,230.2,230.2,230.2,0%,Región del Biobío
Línea 1x220 kV Quilleco - Charrúa,143,Inyección,406.6,155.4,155.4,155.4,155.4,155.4,155.4,155.4,155.4,"0,0%",395.3,395.3,395.3,395.3,395.3,395.3,395.3,395.3,0%,Región del Biobío
Línea 1x220 kV Rucúe - Charrúa,143,Inyección,405.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,"0,0%",393.6,393.6,393.6,393.6,393.6,393.6,393.6,393.6,0%,Región del Biobío
Línea 1x220 kV Mampil - Rucúe,143,Inyección,230.2,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,"0,0%",230.2,230.2,230.2,230.2,230.2,230.2,230.2,230.2,0%,Región del Biobío
Línea 1x220 kV Rucúe - Quilleco,143,Inyección,405.4,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,"0,0%",395.3,395.3,395.3,395.3,395.3,395.3,395.3,395.3,0%,Región del Biobío
Línea 1x220 kV SF Energía - Nodo Nacimiento,144,Inyección,213.4,145,145,145,148.2,148.2,148.2,148.2,148.9,"0,0%",207.2,207.2,207.2,207.2,207.2,207.2,207.2,207.2,0%,Región del Biobío
Línea 1x220 kV Tap María Dolores - Nodo Nacimiento,144,Mixto,296.5,146,146,146,173.4,173.4,173.4,173.4,265,"80,0%",59.5,59.5,59.5,128.4,128.4,128.4,128.4,197.2,230%,Región del Biobío
Línea 1x220 kV Santa Fé - Celulosa Pacifico*,144,Mixto,298.4,264.5,264.5,264.5,255.6,255.6,255.6,255.6,193.8,"-30,0%",262.1,262.1,262.1,189.9,189.9,189.9,189.9,130,-50%,Región del Biobío
Línea 1x220 kV Charrúa - Tap María Dolores,144,Mixto,296.5,95,95,95,121.3,121.3,121.3,121.3,216,"130,0%",18.8,18.8,18.8,114.3,114.3,114.3,114.3,158.5,740%,Región del Biobío
Línea 1x220 kV Tap María Dolores - Laja,144,Mixto,306.7,258,258,258,253.8,253.8,253.8,253.8,258,"0,0%",264.6,264.6,264.6,283.9,283.9,283.9,283.9,264.6,0%,Región del Biobío
Línea 1x154 kV Yungay - Charrua,145,Inyección,115.5,0,0,0,0,0,0,0,0,"0,0%",316.3,316.3,316.3,316.3,316.3,316.3,316.3,316.3,0%,Región del Biobío
Línea 1x66 kV Enlace - Bucalemu,146,Mixto,43.3,231,231,231,231,231,231,231,231,"0,0%",31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,0%,Región del Biobío
Línea 1x220 kV Los Pinos - Charrúa ,148,Inyección ,407.7,301.3,301.3,301.3,301.3,301.3,301.3,301.3,301.3,"0,0%",115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,0%,Región del Biobío
Línea 1x220 kV Santa Lidia - Charrúa ,149,Inyección ,136.8,0,0,0,0,0,0,0,0,"0,0%",40.5,40.4,40.3,40.2,40.1,40,39.9,39.8,0%,Región del Biobío
Línea 1x220 kV Tap Zona de Caida - Zona de Caida ,150,Inyección,293.4,876,876,876,876,876,876,876,876,"0,0%",261.5,261.5,261.5,261.5,261.5,261.5,261.5,261.5,0%,Región del Biobío
Línea 1x220 kV Charrúa - Tap Zona de Caida,150,Inyección,885.2,164.3,164.3,164.3,164.3,164.3,164.3,164.3,164.3,"0,0%",407.7,407.7,407.7,407.7,407.7,407.7,407.7,407.7,0%,Región del Biobío
Línea 1x220 kV Charrúa - Ralco,150,Inyección,884.8,293.4,293.4,293.4,293.4,293.4,293.4,293.4,293.4,"0,0%",195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,0%,Región del Biobío
Línea 1x220 kV Tap Zona de Caida - Ralco,150,Inyección,884.8,88,88,88,88,88,88,88,88,"0,0%",195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,0%,Región del Biobío
Línea 1x66 kV Palmucho - Zona de Caida,150,Inyección,88,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,"0,0%",136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,0%,Región del Biobío
Línea 2x220 kV Santa María - Charrúa,151,Inyección,894.7,104.7,104.7,104.7,104.7,104.7,104.7,104.7,104.7,"0,0%",894.7,894.7,894.7,894.7,894.7,894.7,894.7,894.7,0%,Región del Biobío
Línea 1x66 kV Lebu - Tres Pinos,152,Mixto,26.3,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,"0,0%",16.2,15.8,15.5,15.1,14.8,14.5,14.1,13.8,-10%,Región del Biobío
Línea 2x154 kV San Vicente - Huachipato,153,Retiro,115.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,"0,0%",115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,0%,Región del Biobío
Línea 1x66 kV Coronel - Bocamina**,154,Mixto,41.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,"0,0%",41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,0%,Región del Biobío
Línea 1x66 kV San Vicente - Cementos Bio Bio,156,Retiro,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,"0,0%",8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,0%,Región del Biobío
Línea 1x220 kV Los Notros - Tap Trupan*,157,Inyección,503,503,503,503,503,503,503,503,503,"0,0%",316.8,316.8,316.8,316.8,316.8,316.8,316.8,316.8,0%,Región del Biobío
Línea 1x220 kV Tap Trupan - Charrua,157,Inyección,533.1,133.1,133.1,133.1,133.1,133.1,133.1,133.1,133.1,"0,0%",533.1,533.1,533.1,533.1,533.1,533.1,533.1,533.1,0%,Región del Biobío
Línea 2x220 kV Antuco - Charrua,157,Inyección,533.1,0,0,0,0,0,0,0,0,"0,0%",533.1,533.1,533.1,533.1,533.1,533.1,533.1,533.1,0%,Región del Biobío
Línea 1x220 kV Antuco - Tap Trupan,157,Inyección,533.1,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,"0,0%",533.1,533.1,533.1,533.1,533.1,533.1,533.1,533.1,0%,Región del Biobío
Línea 2x220 kV El Toro - Antuco,157,Inyección,533.1,110.3,110.3,110.3,110.3,110.3,110.3,110.3,110.3,"0,0%",533.1,533.1,533.1,533.1,533.1,533.1,533.1,533.1,0%,Región del Biobío
Línea 1x154 kV Trupan - Charrua,158,Inyección,107,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,"0,0%",107,107,107,107,107,107,107,107,0%,Región del Biobío
Línea 2x154 kV Abanico - Trupan,158,Inyección,106.7,0,0,0,0,0,0,0,0,"0,0%",106.7,106.7,106.7,106.7,106.7,106.7,106.7,106.7,0%,Región del Biobío
Línea 1x154 kV Bocamina - Tap Quiñenco,159,Retiro,214.7,89.7,89.7,89.7,89.7,89.7,89.7,89.7,89.7,"0,0%",110,110,110,110,110,110,110,110,0%,Región del Biobío
Línea 1x66 kV San Vicente - Newen,160,Inyección,34.9,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,"0,0%",20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,0%,Región del Biobío
Línea 1x220 kV Lagunillas - Bocamina**,161,Inyección,433.3,433.3,433.3,433.3,433.3,433.3,433.3,433.3,433.3,"0,0%",83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,0%,Región del Biobío
Línea 1x220 kV Los Olmos - Mulchen,163,Inyección,251.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,"0,0%",251.9,251.9,251.9,251.9,251.9,251.9,251.9,251.9,0%,Región del Biobío
Línea 1x220 kV Tolpan Sur - Los Olmos,163,Inyección,251.9,0,0,0,0,0,0,0,0,"0,0%",251.9,251.9,251.9,251.9,251.9,251.9,251.9,251.9,0%,Región del Biobío
Línea 1x66 kV Charrua - Cholguan,164,Inyección,18.3,0,0,0,0,0,0,0,0,"0,0%",0,0,0,0,0,0,0,0,0%,Región del Biobío
Línea 2x220 kV Los Notros - Angostura*,165,Inyección,390.6,390.6,390.6,390.6,390.6,390.6,390.6,390.6,390.6,"0,0%",69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,0%,Región del Biobío
Línea 1x66 kV Tap Santa Clara - Itata,166,Inyección,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,"0,0%",8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,0%,Región del Biobío
Línea 1x154 kV Santa Luisa - Tap Coyanco,168,Inyección,103.8,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,"0,0%",19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,0%,Región del Biobío
Línea 1x154 kV Central Eolica Alena - Tap Coyanco,168,Inyección,121.9,38,38,38,38,38,38,38,38,"0,0%",121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,0%,Región del Biobío
Línea 1x154 kV Los Angeles - Santa Luisa,168,Inyección,207,207,207,207,207,207,207,207,207,"0,0%",30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,0%,Región del Biobío
Línea 1x154 kV Mesamavida - Santa Luisa,168,Inyección,105.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,"0,0%",105.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,0%,Región del Biobío
Línea 1x154 kV Santa Luisa - Central Cuel,168,Inyección,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,"0,0%",105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,0%,Región del Biobío
Línea 2x220 kV Charrua -Los Guindos,169,Inyección,328.1,328.1,328.1,328.1,328.1,328.1,328.1,328.1,328.1,"0,0%",57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,0%,Región del Biobío
Línea 1x220 kV San Gabriel - Mulchen,174,Inyección,237,57,57,57,57,57,57,57,57,"0,0%",296.1,296.1,296.1,296.1,296.1,296.1,296.1,296.1,0%,Región del Biobío
Línea 1x66 kV Chiguayante - Quilacoya,193,Retiro,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0,0%",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0%,Región del Biobío
Línea 1x66 kV Concepcion (Ff.Cc.) - Tap Cerro Chepe,194,Retiro,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0,0%",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0%,Región del Biobío
Línea 1x154 kV Tap Mapal - Mapal,195,Retiro,70.8,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,"0,0%",70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,0%,Región del Biobío
Línea 1x220 kV Campo Lindo - Santa Clara,205,Inyección,314.4,241.3,241.3,241.3,241.3,241.3,241.3,241.3,241.3,"0,0%",314.4,314.4,314.4,314.4,314.4,314.4,314.4,314.4,0%,Región del Biobío
Línea 1x220 kV Parque Eólico Renaico - Mulchen,211,Inyección,296.1,0,0,0,0,0,0,0,0,"0,0%",237,237,237,237,237,237,237,237,0%,Región del Biobío
Línea 2x220 kV Arauco Mapa - Lagunillas**,242,Inyección,316.3,876,876,876,876,876,876,876,876,"0,0%",150.3,150.3,150.3,150.3,150.3,150.3,150.3,150.3,0%,Región del Biobío
Línea 1x66 kV TCBB - El Pinar,271,Inyección,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,"0,0%",17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,0%,Región del Biobío
Línea 2x220 kV Los Notros - Pangue*,272,Inyección,503,503,503,503,503,503,503,503,503,"0,0%",36,36,36,36,36,36,36,36,0%,Región del Biobío
Línea 1x66 kV Central Lautaro - Lautaro,170,Inyección,60.7,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,"0,0%",59.2,59.2,59.2,59.2,59.2,59.2,59.2,59.2,0%,Región de la Araucania
Línea 1x110 kV Cunco - Melipeuco,171,Inyección,171.5,165.3,165.1,164.8,164.6,164.4,164.2,164,163.6,"0,0%",136,136,136,136,136,136,136,136,0%,Región de la Araucania
Línea 1x110 kV Rio Tolten - Cunco,171,Mixto,173.4,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,"0,0%",167.2,167,166.8,166.5,166.3,166.1,165.9,165.5,0%,Región de la Araucania
"Transformador Río Toltén 220/110/13,8 Kv",171,Mixto,60,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,"0,0%",53.8,53.6,53.4,53.2,52.9,52.7,52.5,52.1,0%,Región de la Araucania
Línea 1x66 kV Deuco - Picoiquen,172,Inyección,51,51,51,51,51,51,51,51,51,"0,0%",31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,0%,Región de la Araucania
Línea 1x220 kV Agua Buena - Seccionadora Rio Malleco,192,Inyección,295.8,161.9,161.9,161.9,161.9,161.9,161.9,161.9,161.9,"0,0%",295.8,295.8,295.8,295.8,295.8,295.8,295.8,295.8,0%,Región de la Araucania
Línea 1x110 kV Antillanca - Chirre,177,Mixto,107.8,102.2,102.2,101.9,101.7,101.4,101.4,101.1,100.8,"0,0%",51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,0%,Región de Los Ríos
Línea 1x110 kV Chirre - Mantilhue ,177,Inyección,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,"0,0%",49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,0%,Región de Los Ríos
Línea 1x110 kV Mantilhue - Central Lican,177,Inyección,107,107,107,107,107,107,107,107,107,"0,0%",85,85,85,85,85,85,85,85,0%,Región de Los Ríos
Línea 1x110 kV Mantilhue - Mocho,177,Inyección,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,"0,0%",52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,0%,Región de Los Ríos
Línea 1x220 kV Planta Valdivia - Ciruelos,173,Mixto,203.9,142.9,142.9,142.9,142.9,142.9,142.9,142.9,142.9,"0,0%",137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,0%,Región de Los Ríos
Línea 1x66 kV Valdivia - Chumpullo,202,Retiro,42.9,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,"0,0%",42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,0%,Región de Los Ríos
Línea 2x66 kV Pilmaiquen - Osorno,175,Mixto,45.8,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,"0,0%",40.3,40.3,40.1,39.8,39.5,39.5,39.2,39,0%,Región de Los Lagos
Línea 1x110 kV Chiloé - Degañ,176,Mixto,72.6,56.6,56.6,55.8,55,54.2,54.2,53.4,52.6,"-10,0%",22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,0%,Región de Los Lagos
Línea 1x110 kV Aihuapi - Antillanca,177,Mixto,107.6,56.8,56.8,56.8,56.8,56.8,56.8,56.8,56.8,"0,0%",94.8,94.8,94.1,93.5,92.9,92.9,92.2,91.6,0%,Región de Los Lagos
Línea 1x220 kV Antillanca - Rahue ,177,Mixto,244.3,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,"0,0%",225.5,225.5,224.5,223.6,222.7,222.7,221.7,220.8,0%,Región de Los Lagos
