"x","y","ID_LIN_TRA","SUBTIPO","NOMBRE","CIRCUITO","TIPO","F_OPERACIO","LONG_KM","TRAMO","PROPIEDAD","TENSION_KV","RCA","SIST_ELECT","ESTADO","REGION","PROVINCIA","COMUNA","FUENTES_BAS","FECH_CREA","FECH_ACT","Shape_STLe","geometry"
"-35.962383490174","-72.30352867","none","none","Nueva Línea 2x66 kV Nueva Cauquenes - Parral","none","Obra Nueva Tx Zonal","8/31/2024","51","NUEVA CAUQUENES - PARRAL","CELEO REDES S.A","66","none","SEN","EN CONSTRUCCIÓN","MAULE","Cauquenes-Linares","Cauquenes-Parral","none","1/29/2024","1/29/2024","",""
"-36.132846","-71.805093","none","none","Nueva Línea 2x66 kV Nueva Cauquenes - Parral","none","Obra Nueva Tx Zonal","8/31/2024","51","NUEVA CAUQUENES - PARRAL","CELEO REDES S.A","66","none","SEN","EN CONSTRUCCIÓN","MAULE","Cauquenes-Linares","Cauquenes-Parral","none","1/29/2024","1/29/2024","",""
"-39.842475","-73.197619","none","none","Nueva línea 2x66 kV Nueva Valdivia - Picarte, tendido del primer circuito","none","Obra Nueva Tx Zonal","3/31/2024","3.2","NUEVA VALDIVIA - PICARTE","SOCIEDAD AUSTRAL DE TRANSMISION TRONCAL S.A.","66","none","SEN","EN CONSTRUCCIÓN","LOS RIOS","Valdivia-Ranco","Valdivia","none","1/29/2024","1/29/2024","",""
"-39.830302","-73.223452","none","none","Nueva línea 2x66 kV Nueva Valdivia - Picarte, tendido del primer circuito","none","Obra Nueva Tx Zonal","3/31/2024","3.2","NUEVA VALDIVIA - PICARTE","SOCIEDAD AUSTRAL DE TRANSMISION TRONCAL S.A.","66","none","SEN","EN CONSTRUCCIÓN","LOS RIOS","Valdivia-Ranco","Valdivia","none","1/29/2024","1/29/2024","",""
"-34.37241","-70.76034","none","none","Nueva Línea 2x66 kV Totihue - Rosario","none","Obra Nueva Tx Zonal","6/1/2026","12","TOTIHUE - ROSARIO","Engie Energía Chile S.A.","66","none","SEN","EN CONSTRUCCIÓN","O'HIGGINS","Cardenal Caro-Cachapoal-Colchagua","Rengo-Requinoa","none","1/29/2024","1/29/2024","",""
"-34.347746","-70.825505","none","none","Nueva Línea 2x66 kV Totihue - Rosario","none","Obra Nueva Tx Zonal","6/1/2026","12","TOTIHUE - ROSARIO","Engie Energía Chile S.A.","66","none","SEN","EN CONSTRUCCIÓN","O'HIGGINS","Cardenal Caro-Cachapoal-Colchagua","Rengo-Requinoa","none","1/29/2024","1/29/2024","",""
"-34.033078","-71.540493","none","none","Nueva Línea 2x220 kV Loica – Portezuelo","none","Obra Nueva Tx Zonal","6/1/2024","45","LOICA - PORTEZUELO","Colbún S.A.","220","none","SEN","EN CONSTRUCCIÓN","O'HIGGINS","Cardenal Caro-Cachapoal-Colchagua","Litueche-La Estrella-Marchihue","none","1/29/2024","1/29/2024","",""
"-34.347638","-71.613041","none","none","Nueva Línea 2x220 kV Loica – Portezuelo","none","Obra Nueva Tx Zonal","6/1/2024","45","LOICA - PORTEZUELO","Colbún S.A.","220","none","SEN","EN CONSTRUCCIÓN","O'HIGGINS","Cardenal Caro-Cachapoal-Colchagua","Litueche-La Estrella-Marchihue","none","1/29/2024","1/29/2024","",""
"-33.38174853182","-71.640721815423","none","none","Nueva Línea 1x66 kV Algarrobo - Los Poetas","none","Obra Nueva Tx Zonal","10/1/2024","7.5","ALGARROBO - LOS POETAS","COMPAÑIA TRANSMISORA DEL NORTE GRANDE S.A.","66","none","SEN","EN CONSTRUCCIÓN","VALPARAISO","Petorca-San Felipe-Los Andes-Quillota-Valparaíso-San Antonio-Isla de Pascua-Marga Marga","Algarrobo","none","1/29/2024","1/29/2024","",""
"-33.368058297387","-71.591739448768","none","none","Nueva Línea 1x66 kV Algarrobo - Los Poetas","none","Obra Nueva Tx Zonal","10/1/2024","7.5","ALGARROBO - LOS POETAS","COMPAÑIA TRANSMISORA DEL NORTE GRANDE S.A.","66","none","SEN","EN CONSTRUCCIÓN","VALPARAISO","Petorca-San Felipe-Los Andes-Quillota-Valparaíso-San Antonio-Isla de Pascua-Marga Marga","Algarrobo","none","1/29/2024","1/29/2024","",""
