Unnamed: 0,ID_LIN_TRA,NOMBRE,CIRCUITO,TRAMO,PROPIEDAD,TENSION_KV,LONG_KM,ESTADO,F_OPERACIO,FECH_ACT,PROVINCIA,Latitud,Longitud
50,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.714013888999943,-65.20552498999996
51,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.714006105999943,-65.20848897199994
52,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.71384704999997,-65.21407858299995
53,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.713797098999976,-65.21779996399994
54,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.713730813999973,-65.22256863599995
55,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.713658992999967,-65.22626088799996
56,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.71359743599993,-65.23045835399995
57,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.713505364999943,-65.23497615999997
58,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.71343521399996,-65.23912147999994
59,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.713332821999927,-65.24322321699998
60,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.711238039999955,-65.24672535999997
61,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.70923032999997,-65.25003077599996
62,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.70485751499996,-65.25246092199995
63,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.703411656999947,-65.25753399199994
64,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.702407940999933,-65.26087001999997
65,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.70049696499996,-65.26732489699998
66,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.69929928699997,-65.27218326299999
67,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.69889445499996,-65.27403980399998
68,1135.0,COBOS - ANDES,C1,COBOS - ANDES,AES ANDES S.A.,345.0,404.64,EN OPERACION,2005-01-01,2023-04-20,ANTOFAGASTA-EL LOA,-24.69747894699998,-65.27856483999994
