,OBJECTID,ID_GE_TERM,NOMBRE,PROPIEDAD,TIPO,MEDIO_GENE,COMBUSTIBL,POTENCIAMW,UNIDADES,RCA,SIST_ELECT,ESTADO,F_OPERACIO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,geometry,Latitud,Longitud
147,2090,238,HORNITOS,HORNITOS,TERMOELECTRICA, ,CARBON,157.61,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,8/4/2011 8:00 p. m.,355832,7446053,19 SUR,WGS 1984,ANTOFAGASTA,ANTOFAGASTA,MEJILLONES,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.40758521899994 -23.087919341318674),-23.087919341318674,-70.40758521899994
148,2091,239,MEJILLONES,ENGIE,TERMOELECTRICA, ,CARBON-GAS NATURAL,531.98,5,051/1999,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1994 9:00 p. m.,355422,7445919,19 SUR,WGS 1984,ANTOFAGASTA,ANTOFAGASTA,MEJILLONES,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.41159995899994 -23.089093713318626),-23.089093713318626,-70.41159995899994
149,2092,243,NORGENER,AES ANDES,TERMOELECTRICA, ,CARBON-PETCOKE,262.289,2, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1994 9:00 p. m.,375163,7556065,19 SUR,WGS 1984,ANTOFAGASTA,TOCOPILLA,TOCOPILLA,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.21016678499996 -22.09587498134167),-22.09587498134167,-70.21016678499996
150,2093,246,TERMOELECTRICA TARAPACA,ENEL GENERACION CHILE,TERMOELECTRICA, ,PETROLEO DIESEL,20.022,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1998 9:00 p. m.,375862,7698898,19 SUR,WGS 1984,TARAPACA,IQUIQUE,IQUIQUE,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.19285027599994 -20.805689034372794),-20.805689034372794,-70.19285027599994
151,2094,249,TOCOPILLA,ENGIE,TERMOELECTRICA, ,PETROLEO DIESEL,428.466,6,075/1998,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1959 8:00 p. m.,375161,7556026,19 SUR,WGS 1984,ANTOFAGASTA,TOCOPILLA,TOCOPILLA,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.21018917399994 -22.09622710234164),-22.09622710234164,-70.21018917399994
152,2095,258,TERMOPACIFICO,GENERADORA DEL PACIFICO S.A.,TERMOELECTRICA, ,PETROLEO DIESEL,95.5623,60,207/2009-244/2009,SISTEMA ELECTRICO NACIONAL,OPERATIVA,11/14/2009 9:00 p. m.,363495,6958309,19 SUR,WGS 1984,ATACAMA,COPIAPO,COPIAPO,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.38183535799993 -27.492003167226695),-27.492003167226695,-70.38183535799993
153,2096,259,TIRUA,SAGESA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,1.9,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,7/20/2011 8:00 p. m.,107826,5748591,19 SUR,WGS 1984,BIOBIO,ARAUCO,TIRUA,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.48561834899994 -38.32502576308189),-38.32502576308189,-73.48561834899994
154,2097,260,TOMAVAL,BIOCRUZ GENERACION,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.9,2, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/31/2011 9:00 p. m.,291579,6362592,19 SUR,WGS 1984,VALPARAISO,QUILLOTA,LA CRUZ,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.22724042099998 -32.85497487513964),-32.85497487513964,-71.22724042099998
155,2098,262,TORTEL,MUNICIPALIDAD DE TORTEL,TERMOELECTRICA, ,S/I,0.24,1, ,PARTICULAR,OPERATIVA,,161106,4695166,19 SUR,WGS 1984,AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CAPITAN PRAT,TORTEL,SEREMIA AYSEN,9/29/2018 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.52673551599997 -47.80750440506141),-47.80750440506141,-73.52673551599997
156,2099,263,TRAPEN,ENLASA,TERMOELECTRICA, ,PETROLEO DIESEL,80.838,50,113/2008,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/2008 9:00 p. m.,159794,5395737,19 SUR,WGS 1984,LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.07683113499996 -41.517732887063474),-41.517732887063474,-73.07683113499996
