,OBJECTID,ID_GE_HIDRO,NOMBRE,PROPIEDAD,TIPO,MEDIO_GENE,COMBUSTIBL,POTENCIAMW,UNIDADES,RCA,SIST_ELECT,ESTADO,F_OPERACIO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,geometry,Latitud,Longitud
41,1442,67,DIGUA,ELECTRICA DIGUA SPA,HIDRAULICA PASADA, ,NO APLICA,23.832,2,030/2017,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/18/2021 8:00 p. m.,270665,5984500,19 SUR,WGS 1984,MAULE,LINARES,PARRAL,COMISION NACIONAL DE ENERGIA,6/19/2016 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.55261804999998 -36.2572111710999),-36.2572111710999,-71.55261804999998
42,1443,69,DON WALTERIO,GENERADORA ELECTRICA RHOM LTDA.,HIDRAULICA PASADA,PMGD,NO APLICA,2.9456,1,707/2006,SISTEMA ELECTRICO NACIONAL,OPERATIVA,4/24/2013 9:00 p. m.,202287,5504390,19 SUR,WGS 1984,LOS RIOS,RANCO,RIO BUENO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.51618006399997 -40.55776021306782),-40.55776021306782,-72.51618006399997
43,1444,70,DONGO,HIDROELECTRICA DONGO SPA,HIDRAULICA PASADA,PMGD,NO APLICA,5.9976,2,723/2008,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/13/2010 9:00 p. m.,98233,5275560,19 SUR,WGS 1984,LOS LAGOS,CHILOE,CHONCHI,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.89446908799994 -42.56775748005998),-42.56775748005998,-73.89446908799994
44,1445,72,DONGUIL,DONGUIL ENERGIA,HIDRAULICA PASADA,PMGD,NO APLICA,0.2494,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/27/2011 8:00 p. m.,182305,5663435,19 SUR,WGS 1984,LA ARAUCANIA,CAUTIN,GORBEA,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.67459865799998 -39.12035175107623),-39.12035175107623,-72.67459865799998
45,1446,74,DONA HILDA,FORESTAL Y GANADERA CARRAN LTDA,HIDRAULICA PASADA,PMGD,NO APLICA,0.419,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,11/19/2010 9:00 p. m.,244644,5530960,19 SUR,WGS 1984,LOS RIOS,RANCO,LAGO RANCO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.00594997199994 -40.33285926306899),-40.33285926306899,-72.00594997199994
46,1447,75,DOS VALLES,HIDROELECTRICA DOS VALLES S.P.A,HIDRAULICA PASADA,PMG,NO APLICA,4.45,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,9/13/2019 9:00 p. m.,377500,6137034,19 SUR,WGS 1984,LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLCHAGUA,SAN FERNANDO,COMISION NACIONAL DE ENERGIA,9/29/2017 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.340797803 -34.90173376411422),-34.90173376411422,-70.340797803
47,1448,77,EL AGRIO,EL AGRIO HIDRO SPA,HIDRAULICA PASADA,PMGD,NO APLICA,2.4974,1,NO APLICA,SISTEMA ELECTRICO NACIONAL,OPERATIVA,7/17/2016 8:00 p. m.,288312,5730054,19 SUR,WGS 1984,LA ARAUCANIA,MALLECO,CURACAUTIN,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.42928311099996 -38.55276357808014),-38.55276357808014,-71.42928311099996
48,1449,79,EL ARRAYAN,ENERGIA RENOVABLE ARRAYAN LTDA,HIDRAULICA PASADA,PMGD,NO APLICA,0.1491,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/21/2013 8:00 p. m.,206812,5500072,19 SUR,WGS 1984,LOS RIOS,RANCO,RIO BUENO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.46483552899997 -40.5982027680676),-40.5982027680676,-72.46483552899997
49,1450,80,EL BRINCO,HIDRO MUNILQUE SPA,HIDRAULICA PASADA,PMGD,NO APLICA,0.19,1,441/2015,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/11/2022 8:00 p. m.,221212,5824850,19 SUR,WGS 1984,BIOBIO,BIO-BIO,MULCHEN,COMISION NACIONAL DE ENERGIA,5/21/2015 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.16131207199999 -37.68121358908695),-37.68121358908695,-72.16131207199999
50,1451,82,EL CANELO,HIDROELECTRICA EL CANELO S.A.,HIDRAULICA PASADA,PMGD,NO APLICA,6.04,2,061/2011,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/6/2012 8:00 p. m.,260699,5697412,19 SUR,WGS 1984,LA ARAUCANIA,CAUTIN,MELIPEUCO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.75710954699997 -38.83958654207811),-38.83958654207811,-71.75710954699997
