,OBJECTID,ID_GE_EOLIC,NOMBRE,PROPIEDAD,TIPO,MEDIO_GENE,COMBUSTIBL,POTENCIAMW,UNIDADES,RCA,SIST_ELECT,ESTADO,F_OPERACIO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,geometry
42,358,91,SIERRA GORDA ESTE,ENEL GREEN POWER CHILE LTDA.,EOLICO, ,NO APLICA,110.619,56,490/2014,SISTEMA ELECTRICO NACIONAL,OPERATIVA,4/3/2018 9:00 p. m.,502596,7470021,19 SUR,WGS 1984,ANTOFAGASTA,ANTOFAGASTA,SIERRA GORDA,COMISION NACIONAL DE ENERGIA,9/29/2017 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-68.97469135399996 -22.87767727032349)
43,359,100,PUELCHE SUR,AR PUELCHE SUR SPA,EOLICO, ,NO APLICA,159.5,33,026/2019,SISTEMA ELECTRICO NACIONAL,OPERATIVA,1/9/2023 9:00 p. m.,163737,5450115,19 SUR,WGS 1984,LOS LAGOS,LLANQUIHUE,FRUTILLAR,COMISION NACIONAL DE ENERGIA,7/26/2016 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.99970572499996 -41.030774934065555)
44,360,103,PUNTA SIERRA,PACIFIC HYDRO PUNTA SIERRA SPA,EOLICO, ,NO APLICA,81.185,32,103/2014,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/4/2019 8:00 p. m.,248947,6552468,19 SUR,WGS 1984,COQUIMBO,LIMARI,OVALLE,COMISION NACIONAL DE ENERGIA,12/30/2016 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.63304070599999 -31.134860434164395)
45,361,105,RAKI,PROYECTO RAKI SPA,EOLICO,PMGD,NO APLICA,8.98,3,107/2012,SISTEMA ELECTRICO NACIONAL,OPERATIVA,7/29/2015 9:00 p. m.,96961,5812860,19 SUR,WGS 1984,BIOBIO,ARAUCO,LEBU,COMISION NACIONAL DE ENERGIA,12/30/2015 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.57340536299995 -37.74282822708644)
46,362,107,SAN GABRIEL (MODIFICACION),PARQUE EOLICO SAN GABRIEL SPA,EOLICO, ,NO APLICA,180.0,61,242/2017,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/12/2020 9:00 p. m.,190390,5822332,19 SUR,WGS 1984,LA ARAUCANIA,MALLECO,RENAICO,COMISION NACIONAL DE ENERGIA,8/2/2015 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.51131475799997 -37.69398641808682)
47,363,111,SARCO,AELA EOLICA SARCO SPA,EOLICO, ,NO APLICA,167.56,50,032/2014,SISTEMA ELECTRICO NACIONAL,OPERATIVA,4/30/2018 9:00 p. m.,263710,6804933,19 SUR,WGS 1984,ATACAMA,HUASCO,FREIRINA,COMISION NACIONAL DE ENERGIA,8/2/2015 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.42236915599995 -28.861625156201747)
48,364,119,TCHAMMA,AR TCHAMMA SPA,EOLICO, ,NO APLICA,155.4,35,492/2014,SISTEMA ELECTRICO NACIONAL,OPERATIVA,2/20/2022 9:00 p. m.,491323,7511995,19 SUR,WGS 1984,ANTOFAGASTA,EL LOA,CALAMA,COMISION NACIONAL DE ENERGIA,8/2/2015 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-69.08436045699995 -22.498472451332223)
49,365,121,TOLPAN SUR,ACCIONA ENERGIA CHILE,EOLICO, ,NO APLICA,80.9,28,285/2018,SISTEMA ELECTRICO NACIONAL,OPERATIVA,11/23/2020 9:00 p. m.,182578,5822953,19 SUR,WGS 1984,LA ARAUCANIA,MALLECO,RENAICO,COMISION NACIONAL DE ENERGIA,7/26/2016 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.59948250799994 -37.685730259086924)
50,366,122,UCUQUER,UCUQUER,EOLICO,PMGD,NO APLICA,7.0724,4,099/2012,SISTEMA ELECTRICO NACIONAL,OPERATIVA,1/2/2013 9:00 p. m.,259083,6229869,19 SUR,WGS 1984,LIBERTADOR GENERAL BERNARDO O'HIGGINS,CARDENAL CARO,LITUECHE,COMISION NACIONAL DE ENERGIA,3/17/2015 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.60981323599998 -34.044210811124316)
51,367,123,UCUQUER II,UCUQUER DOS,EOLICO, ,NO APLICA,10.5028,5,099/2012,SISTEMA ELECTRICO NACIONAL,OPERATIVA,10/21/2014 9:00 p. m.,258017,6229737,19 SUR,WGS 1984,LIBERTADOR GENERAL BERNARDO O'HIGGINS,CARDENAL CARO,LITUECHE,COMISION NACIONAL DE ENERGIA,3/17/2015 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.62138706799993 -34.04515443112431)
52,368,124,VALLE DE LOS VIENTOS,ENEL GREEN POWER CHILE,EOLICO, ,NO APLICA,88.9,45,138/2010,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/20/2014 9:00 p. m.,518809,7509843,19 SUR,WGS 1984,ANTOFAGASTA,EL LOA,CALAMA,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-68.81710784399996 -22.517831847331784)
53,369,176,MALLECO SUR,WPD MALLECO SPA,EOLICO, ,NO APLICA,131.86,38,240/2016,SISTEMA ELECTRICO NACIONAL,OPERATIVA,9/27/2021 9:00 p. m.,213945,5788559,19 SUR,WGS 1984,LA ARAUCANIA,MALLECO,COLLIPULLI,COMISION NACIONAL DE ENERGIA,8/2/2015 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.25794579899997 -38.005545176084304)
54,370,177,MALLECO NORTE,WPD MALLECO SPA,EOLICO, ,NO APLICA,131.074,39,240/2016,SISTEMA ELECTRICO NACIONAL,OPERATIVA,2/2/2022 9:00 p. m.,213945,5788559,19 SUR,WGS 1984,LA ARAUCANIA,MALLECO,COLLIPULLI,COMISION NACIONAL DE ENERGIA,8/2/2015 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.25794579899997 -38.005545176084304)
