Fecha y Hora;Nombre Central;Generación Real (MWh)
13-07-2023 20:00;PFV ANDES SOLAR II-B;102
13-07-2023 21:00;PFV ANDES SOLAR II-B;102
13-07-2023 22:00;PFV ANDES SOLAR II-B;102
13-07-2023 23:00;PFV ANDES SOLAR II-B;48
13-07-2023 23:59;PFV ANDES SOLAR II-B;0
14-07-2023 1:00;PFV ANDES SOLAR II-B;0
14-07-2023 2:00;PFV ANDES SOLAR II-B;0
14-07-2023 3:00;PFV ANDES SOLAR II-B;0
14-07-2023 4:00;PFV ANDES SOLAR II-B;0
14-07-2023 5:00;PFV ANDES SOLAR II-B;0
14-07-2023 6:00;PFV ANDES SOLAR II-B;0
14-07-2023 7:00;PFV ANDES SOLAR II-B;0
14-07-2023 8:00;PFV ANDES SOLAR II-B;3
14-07-2023 9:00;PFV ANDES SOLAR II-B;10
14-07-2023 10:00;PFV ANDES SOLAR II-B;10
14-07-2023 11:00;PFV ANDES SOLAR II-B;10
14-07-2023 12:00;PFV ANDES SOLAR II-B;10
14-07-2023 13:00;PFV ANDES SOLAR II-B;10
14-07-2023 14:00;PFV ANDES SOLAR II-B;10
14-07-2023 15:00;PFV ANDES SOLAR II-B;9
14-07-2023 16:00;PFV ANDES SOLAR II-B;9
14-07-2023 17:00;PFV ANDES SOLAR II-B;10
14-07-2023 18:00;PFV ANDES SOLAR II-B;14
14-07-2023 19:00;PFV ANDES SOLAR II-B;105
14-07-2023 20:00;PFV ANDES SOLAR II-B;105
14-07-2023 21:00;PFV ANDES SOLAR II-B;105
14-07-2023 22:00;PFV ANDES SOLAR II-B;105
14-07-2023 23:00;PFV ANDES SOLAR II-B;21
14-07-2023 23:59;PFV ANDES SOLAR II-B;0
15-07-2023 1:00;PFV ANDES SOLAR II-B;0
15-07-2023 2:00;PFV ANDES SOLAR II-B;0
15-07-2023 3:00;PFV ANDES SOLAR II-B;0
15-07-2023 4:00;PFV ANDES SOLAR II-B;0
15-07-2023 5:00;PFV ANDES SOLAR II-B;0
15-07-2023 6:00;PFV ANDES SOLAR II-B;0
15-07-2023 7:00;PFV ANDES SOLAR II-B;0
15-07-2023 8:00;PFV ANDES SOLAR II-B;3
15-07-2023 9:00;PFV ANDES SOLAR II-B;10
15-07-2023 10:00;PFV ANDES SOLAR II-B;10
15-07-2023 11:00;PFV ANDES SOLAR II-B;10
15-07-2023 12:00;PFV ANDES SOLAR II-B;10
15-07-2023 13:00;PFV ANDES SOLAR II-B;10
15-07-2023 14:00;PFV ANDES SOLAR II-B;10
15-07-2023 15:00;PFV ANDES SOLAR II-B;10
15-07-2023 16:00;PFV ANDES SOLAR II-B;10
15-07-2023 17:00;PFV ANDES SOLAR II-B;10
15-07-2023 18:00;PFV ANDES SOLAR II-B;10
15-07-2023 19:00;PFV ANDES SOLAR II-B;98
15-07-2023 20:00;PFV ANDES SOLAR II-B;105
15-07-2023 21:00;PFV ANDES SOLAR II-B;105
15-07-2023 22:00;PFV ANDES SOLAR II-B;105
15-07-2023 23:00;PFV ANDES SOLAR II-B;42
15-07-2023 23:59;PFV ANDES SOLAR II-B;1
16-07-2023 1:00;PFV ANDES SOLAR II-B;1
16-07-2023 2:00;PFV ANDES SOLAR II-B;1
16-07-2023 3:00;PFV ANDES SOLAR II-B;0
16-07-2023 4:00;PFV ANDES SOLAR II-B;0
16-07-2023 5:00;PFV ANDES SOLAR II-B;0
16-07-2023 6:00;PFV ANDES SOLAR II-B;0
16-07-2023 7:00;PFV ANDES SOLAR II-B;0
16-07-2023 8:00;PFV ANDES SOLAR II-B;3
16-07-2023 9:00;PFV ANDES SOLAR II-B;10
16-07-2023 10:00;PFV ANDES SOLAR II-B;10
16-07-2023 11:00;PFV ANDES SOLAR II-B;10
16-07-2023 12:00;PFV ANDES SOLAR II-B;10
16-07-2023 13:00;PFV ANDES SOLAR II-B;10
16-07-2023 14:00;PFV ANDES SOLAR II-B;10
16-07-2023 15:00;PFV ANDES SOLAR II-B;10
16-07-2023 16:00;PFV ANDES SOLAR II-B;10
16-07-2023 17:00;PFV ANDES SOLAR II-B;10
16-07-2023 18:00;PFV ANDES SOLAR II-B;10
16-07-2023 19:00;PFV ANDES SOLAR II-B;99
16-07-2023 20:00;PFV ANDES SOLAR II-B;105
16-07-2023 21:00;PFV ANDES SOLAR II-B;105
16-07-2023 22:00;PFV ANDES SOLAR II-B;105
16-07-2023 23:00;PFV ANDES SOLAR II-B;13
16-07-2023 23:59;PFV ANDES SOLAR II-B;0
17-07-2023 1:00;PFV ANDES SOLAR II-B;0
17-07-2023 2:00;PFV ANDES SOLAR II-B;0
17-07-2023 3:00;PFV ANDES SOLAR II-B;0
17-07-2023 4:00;PFV ANDES SOLAR II-B;0
17-07-2023 5:00;PFV ANDES SOLAR II-B;0
17-07-2023 6:00;PFV ANDES SOLAR II-B;0
17-07-2023 7:00;PFV ANDES SOLAR II-B;0
17-07-2023 8:00;PFV ANDES SOLAR II-B;2
17-07-2023 9:00;PFV ANDES SOLAR II-B;10
17-07-2023 10:00;PFV ANDES SOLAR II-B;10
17-07-2023 11:00;PFV ANDES SOLAR II-B;10
17-07-2023 12:00;PFV ANDES SOLAR II-B;10
17-07-2023 13:00;PFV ANDES SOLAR II-B;10
17-07-2023 14:00;PFV ANDES SOLAR II-B;10
17-07-2023 15:00;PFV ANDES SOLAR II-B;10
17-07-2023 16:00;PFV ANDES SOLAR II-B;10
17-07-2023 17:00;PFV ANDES SOLAR II-B;10
17-07-2023 18:00;PFV ANDES SOLAR II-B;10
17-07-2023 19:00;PFV ANDES SOLAR II-B;94
17-07-2023 20:00;PFV ANDES SOLAR II-B;102
17-07-2023 21:00;PFV ANDES SOLAR II-B;102
17-07-2023 22:00;PFV ANDES SOLAR II-B;102
17-07-2023 23:00;PFV ANDES SOLAR II-B;34
17-07-2023 23:59;PFV ANDES SOLAR II-B;0
18-07-2023 1:00;PFV ANDES SOLAR II-B;0
18-07-2023 2:00;PFV ANDES SOLAR II-B;0
18-07-2023 3:00;PFV ANDES SOLAR II-B;0
18-07-2023 4:00;PFV ANDES SOLAR II-B;0
